"","Date","Value"
"635","11/1/2000",3.9
"636","12/1/2000",3.9
"637","1/1/2001",4.2
"638","2/1/2001",4.2
"639","3/1/2001",4.3
"640","4/1/2001",4.4
"641","5/1/2001",4.3
"642","6/1/2001",4.5
"643","7/1/2001",4.6
"644","8/1/2001",4.9
"645","9/1/2001",5
"646","10/1/2001",5.3
"647","11/1/2001",5.5
"648","12/1/2001",5.7
"649","1/1/2002",5.7
"650","2/1/2002",5.7
"651","3/1/2002",5.7
"652","4/1/2002",5.9
"653","5/1/2002",5.8
"654","6/1/2002",5.8
"655","7/1/2002",5.8
"656","8/1/2002",5.7
"657","9/1/2002",5.7
"658","10/1/2002",5.7
"659","11/1/2002",5.9
"660","12/1/2002",6
"661","1/1/2003",5.8
"662","2/1/2003",5.9
"663","3/1/2003",5.9
"664","4/1/2003",6
"665","5/1/2003",6.1
"666","6/1/2003",6.3
"667","7/1/2003",6.2
"668","8/1/2003",6.1
"669","9/1/2003",6.1
"670","10/1/2003",6
"671","11/1/2003",5.8
"672","12/1/2003",5.7
"673","1/1/2004",5.7
"674","2/1/2004",5.6
"675","3/1/2004",5.8
"676","4/1/2004",5.6
"677","5/1/2004",5.6
"678","6/1/2004",5.6
"679","7/1/2004",5.5
"680","8/1/2004",5.4
"681","9/1/2004",5.4
"682","10/1/2004",5.5
"683","11/1/2004",5.4
"684","12/1/2004",5.4
"685","1/1/2005",5.3
"686","2/1/2005",5.4
"687","3/1/2005",5.2
"688","4/1/2005",5.2
"689","5/1/2005",5.1
"690","6/1/2005",5
"691","7/1/2005",5
"692","8/1/2005",4.9
"693","9/1/2005",5
"694","10/1/2005",5
"695","11/1/2005",5
"696","12/1/2005",4.9
"697","1/1/2006",4.7
"698","2/1/2006",4.8
"699","3/1/2006",4.7
"700","4/1/2006",4.7
"701","5/1/2006",4.6
"702","6/1/2006",4.6
"703","7/1/2006",4.7
"704","8/1/2006",4.7
"705","9/1/2006",4.5
"706","10/1/2006",4.4
"707","11/1/2006",4.5
"708","12/1/2006",4.4
"709","1/1/2007",4.6
"710","2/1/2007",4.5
"711","3/1/2007",4.4
"712","4/1/2007",4.5
"713","5/1/2007",4.4
"714","6/1/2007",4.6
"715","7/1/2007",4.7
"716","8/1/2007",4.6
"717","9/1/2007",4.7
"718","10/1/2007",4.7
"719","11/1/2007",4.7
"720","12/1/2007",5
"721","1/1/2008",5
"722","2/1/2008",4.9
"723","3/1/2008",5.1
"724","4/1/2008",5
"725","5/1/2008",5.4
"726","6/1/2008",5.6
"727","7/1/2008",5.8
"728","8/1/2008",6.1
"729","9/1/2008",6.1
"730","10/1/2008",6.5
"731","11/1/2008",6.8
"732","12/1/2008",7.3
"733","1/1/2009",7.8
"734","2/1/2009",8.3
"735","3/1/2009",8.7
"736","4/1/2009",9
"737","5/1/2009",9.4
"738","6/1/2009",9.5
"739","7/1/2009",9.5
"740","8/1/2009",9.6
"741","9/1/2009",9.8
"742","10/1/2009",10
"743","11/1/2009",9.9
"744","12/1/2009",9.9
"745","1/1/2010",9.7
"746","2/1/2010",9.8
"747","3/1/2010",9.9
"748","4/1/2010",9.9
"749","5/1/2010",9.6
"750","6/1/2010",9.4
"751","7/1/2010",9.5
"752","8/1/2010",9.5
"753","9/1/2010",9.5
"754","10/1/2010",9.5
"755","11/1/2010",9.8
"756","12/1/2010",9.4
"757","1/1/2011",9.1
"758","2/1/2011",9
"759","3/1/2011",9
"760","4/1/2011",9.1
"761","5/1/2011",9
"762","6/1/2011",9.1
"763","7/1/2011",9
"764","8/1/2011",9
"765","9/1/2011",9
"766","10/1/2011",8.8
"767","11/1/2011",8.6
"768","12/1/2011",8.5
"769","1/1/2012",8.2
"770","2/1/2012",8.3
"771","3/1/2012",8.2
"772","4/1/2012",8.2
"773","5/1/2012",8.2
"774","6/1/2012",8.2
"775","7/1/2012",8.2
"776","8/1/2012",8.1
"777","9/1/2012",7.8
"778","10/1/2012",7.8
"779","11/1/2012",7.8
"780","12/1/2012",7.9
"781","1/1/2013",7.9
"782","2/1/2013",7.7
"783","3/1/2013",7.5
"784","4/1/2013",7.5
"785","5/1/2013",7.5
"786","6/1/2013",7.5
"787","7/1/2013",7.3
"788","8/1/2013",7.2
"789","9/1/2013",7.2
"790","10/1/2013",7.2
"791","11/1/2013",7
"792","12/1/2013",6.7
"793","1/1/2014",6.6
"794","2/1/2014",6.7
"795","3/1/2014",6.7
"796","4/1/2014",6.3
"797","5/1/2014",6.3
"798","6/1/2014",6.1
"799","7/1/2014",6.2
"800","8/1/2014",6.1
"801","9/1/2014",5.9
